b'11-7-2023 10:17:40,0,0,0,0'
b'11-7-2023 10:17:41,0,0,0,0'
b'11-7-2023 10:17:41,0,0,0,0'
b'11-7-2023 10:17:41,0,0,0,0'
b'11-7-2023 10:17:42,0,0,0,0'
b'11-7-2023 10:17:42,0,0,0,0'
b'11-7-2023 10:17:42,-0.44023,9.37001,2.1051,1'
b'11-7-2023 10:17:43,10.54167,3.43987,0.6605,1'
b'11-7-2023 10:17:43,10.34056,-0.8251,1.12168,1'
b'11-7-2023 10:17:43,-0.13497,7.00454,1.01754,1'
b'11-7-2023 10:17:44,-2.08475,9.6621,0.9493,1'
b'11-7-2023 10:17:44,-1.1567,9.67407,1.23421,1'
b'11-7-2023 10:17:44,-1.80104,9.18206,0.82959,1'
b'11-7-2023 10:17:44,-0.26905,9.48852,0.96845,1'
b'11-7-2023 10:17:45,-1.26683,9.9521,1.37098,1'
b'11-7-2023 10:17:45,-1.72442,9.60823,0.90142,1'
b'11-7-2023 10:17:45,-1.19141,9.66689,0.99838,1'
b'11-7-2023 10:17:46,-0.89304,9.71747,1.09295,1'
b'11-7-2023 10:17:46,-1.65379,9.65372,0.84515,1'
b'11-7-2023 10:17:46,-1.39492,9.84196,1.00676,1'
b'11-7-2023 10:17:47,-1.49069,9.85274,1.20309,1'
b'11-7-2023 10:17:47,0,0,0,0'
b'11-7-2023 10:17:47,0,0,0,0'
b'11-7-2023 10:17:48,0,0,0,0'
b'11-7-2023 10:17:48,0,0,0,0'
b'11-7-2023 10:17:48,0,0,0,0'
b'11-7-2023 10:17:49,4.80576,3.80528,0.38158,1'
b'11-7-2023 10:17:49,11.21713,-0.28252,0.61142,1'
b'11-7-2023 10:17:49,6.35451,5.49649,1.27132,1'
b'11-7-2023 10:17:50,-7.45554,9.28741,1.59843,1'
b'11-7-2023 10:17:50,-0.47615,10.1568,0.72874,1'
b'11-7-2023 10:17:50,-1.51224,9.77732,0.17538,1'
b'11-7-2023 10:17:51,-1.02232,9.5388,0.36721,1'
b'11-7-2023 10:17:51,-1.116,9.75577,0.16939,1'
b'11-7-2023 10:17:51,-1.55174,9.77852,0.44742,1'
b'11-7-2023 10:17:52,-0.32052,9.40592,0.45101,1'
b'11-7-2023 10:17:52,-0.69073,9.68514,0.58508,1'
b'11-7-2023 10:17:52,-0.80565,10.18194,0.77303,1'
b'11-7-2023 10:17:53,-0.80206,9.73542,0.50727,1'
b'11-7-2023 10:17:53,-0.90142,9.81204,0.67606,1'
b'11-7-2023 10:17:53,-0.58299,9.76535,0.50129,1'
b'11-7-2023 10:17:54,0,0,0,0'
b'11-7-2023 10:17:54,0,0,0,0'
b'11-7-2023 10:17:54,0,0,0,0'
b'11-7-2023 10:17:55,0.77662,7.8452,1.10612,1'
b'11-7-2023 10:17:55,12.65096,-1.49578,0.37679,1'
b'11-7-2023 10:17:55,14.08569,-0.16281,1.72891,1'
b'11-7-2023 10:17:56,-2.8491,8.01549,1.99856,1'
b'11-7-2023 10:17:56,-2.67522,9.09198,1.14443,1'
b'11-7-2023 10:17:56,-2.1892,9.41789,1.04986,1'
b'11-7-2023 10:17:57,-1.82498,9.65611,1.42724,1'
b'11-7-2023 10:17:57,-1.7352,9.80246,1.35272,1'
b'11-7-2023 10:17:57,-1.74837,9.64414,1.42485,1'
b'11-7-2023 10:17:58,-1.58047,9.61541,1.34554,1'
b'11-7-2023 10:17:58,-1.47273,9.55197,1.24858,1'
b'11-7-2023 10:17:58,-1.65379,9.55197,1.31083,1'
b'11-7-2023 10:17:59,-1.8178,9.66449,1.43562,1'
b'11-7-2023 10:17:59,-1.64661,9.60584,1.4045,1'
b'11-7-2023 10:17:59,-1.73999,9.63217,1.34913,1'
b'11-7-2023 10:18:0,0,0,0,0'
b'11-7-2023 10:18:0,0,0,0,0'
b'11-7-2023 10:18:0,0,0,0,0'
b'11-7-2023 10:18:1,0,0,0,0'
b'11-7-2023 10:18:1,4.24163,6.5637,0.65451,1'
b'11-7-2023 10:18:1,10.87596,-1.06841,-0.65811,1'
b'11-7-2023 10:18:2,9.81114,2.82905,1.14563,1'
b'11-7-2023 10:18:2,-1.76872,9.98921,0.26426,1'
b'11-7-2023 10:18:2,-1.40809,10.02392,1.09535,1'
b'11-7-2023 10:18:2,-1.46675,9.61302,1.21506,1'
b'11-7-2023 10:18:3,-1.45478,9.64414,1.45119,1'
b'11-7-2023 10:18:3,-1.19501,9.63337,1.14682,1'
b'11-7-2023 10:18:3,-1.01035,9.67048,1.35751,1'
b'11-7-2023 10:18:4,-1.09804,9.73782,1.46675,1'
b'11-7-2023 10:18:4,-1.08128,9.64414,1.29766,1'
b'11-7-2023 10:18:4,-1.21775,9.63457,1.25097,1'
b'11-7-2023 10:18:5,-1.10881,9.77612,1.25696,1'
b'11-7-2023 10:18:5,-1.0331,9.73183,1.27012,1'
b'11-7-2023 10:18:5,-1.19261,9.68874,1.32998,1'
b'11-7-2023 10:18:6,0,0,0,0'
b'11-7-2023 10:18:6,0,0,0,0'
b'11-7-2023 10:18:6,0,0,0,0'
b'11-7-2023 10:18:7,0,0,0,0'
b'11-7-2023 10:18:7,1.18722,9.11862,0.89783,1'
b'11-7-2023 10:18:7,11.64839,1.2806,0.85832,1'
b'11-7-2023 10:18:8,10.39084,0.37858,1.53379,1'
b'11-7-2023 10:18:8,3.7565,6.66546,2.24995,1'
b'11-7-2023 10:18:8,-1.16508,9.5388,0.84635,1'
b'11-7-2023 10:18:9,-2.89818,9.48732,0.78021,1'
b'11-7-2023 10:18:9,-1.85491,9.58788,1.16957,1'
b'11-7-2023 10:18:9,-1.74956,9.5807,1.27372,1'
b'11-7-2023 10:18:10,-1.37936,9.5364,1.00796,1'
b'11-7-2023 10:18:10,-1.60322,9.58309,1.1552,1'
b'11-7-2023 10:18:10,-1.44281,9.54957,1.24379,1'
b'11-7-2023 10:18:11,-1.6502,9.63337,1.16119,1'
b'11-7-2023 10:18:11,-1.46914,9.61541,1.31083,1'
b'11-7-2023 10:18:11,-1.66457,9.64055,1.41886,1'
b'11-7-2023 10:18:12,-1.33028,9.56035,1.24858,1'
b'11-7-2023 10:18:12,0,0,0,0'
b'11-7-2023 10:18:12,0,0,0,0'
b'11-7-2023 10:18:13,0,0,0,0'
b'11-7-2023 10:18:13,-3.96659,9.25269,1.0343,1'
b'11-7-2023 10:18:13,9.55705,3.12383,0.07602,1'
b'11-7-2023 10:18:14,11.03637,0.00239,0.88825,1'
b'11-7-2023 10:18:14,9.2075,1.97641,0.52882,1'
b'11-7-2023 10:18:14,-1.70048,8.29082,1.66906,1'
b'11-7-2023 10:18:15,-2.91015,9.22276,1.03549,1'
b'11-7-2023 10:18:15,-2.15897,9.57471,1.25696,1'
b'11-7-2023 10:18:15,-1.2405,9.65372,0.97803,1'
b'11-7-2023 10:18:16,-1.09684,9.81323,1.04387,1'
b'11-7-2023 10:18:16,-1.46555,9.54838,1.31801,1'
b'11-7-2023 10:18:16,-1.25726,9.68993,1.29167,1'
b'11-7-2023 10:18:16,-1.38415,9.7043,1.34674,1'
b'11-7-2023 10:18:17,-1.51463,9.71747,1.45238,1'
b'11-7-2023 10:18:17,-1.42246,9.58429,1.42485,1'
b'11-7-2023 10:18:17,-1.43323,9.60225,1.4452,1'
b'11-7-2023 10:18:18,0,0,0,0'
b'11-7-2023 10:18:18,0,0,0,0'
b'11-7-2023 10:18:18,0,0,0,0'
b'11-7-2023 10:18:19,0,0,0,0'
b'11-7-2023 10:18:19,0,0,0,0'
b'11-7-2023 10:18:19,-0.38636,8.4249,1.91566,1'
b'11-7-2023 10:18:20,11.46404,1.35841,0.87508,1'
b'11-7-2023 10:18:20,9.97993,0.68145,1.12288,1'
b'11-7-2023 10:18:20,8.02297,4.21499,1.65828,1'
b'11-7-2023 10:18:21,-3.16873,9.65252,1.00317,1'
b'11-7-2023 10:18:21,-1.34105,9.58549,1.10612,1'
b'11-7-2023 10:18:21,-1.54217,9.71148,1.20787,1'
b'11-7-2023 10:18:22,-1.38295,9.51605,1.09535,1'
b'11-7-2023 10:18:22,-0.92536,9.5376,1.39732,1'
b'11-7-2023 10:18:22,-1.43323,10.06343,1.3216,1'
b'11-7-2023 10:18:23,-1.85251,9.55676,0.95888,1'
b'11-7-2023 10:18:23,-1.04746,9.75937,0.98402,1'
b'11-7-2023 10:18:23,-1.1579,9.98801,1.20069,1'
b'11-7-2023 10:18:24,-1.5697,9.72704,1.00676,1'
b'11-7-2023 10:18:24,-1.37936,9.7845,0.83677,1'
b'11-7-2023 10:18:24,0,0,0,0'
b'11-7-2023 10:18:25,-0.39474,9.39395,1.70138,1'
b'11-7-2023 10:18:25,-1.05854,9.43705,1.18274,1'
b'11-7-2023 10:18:25,-1.1579,9.76176,1.17914,1'
